BioSample	collection_year
SAMEA2649877	2012
SAMEA4949199	2015
SAMEA4949200	2015
SAMEA4949201	2015
SAMEA4949202	2015
SAMEA4949203	2015
SAMEA4949204	2015
SAMEA4949205	2015
SAMEA4949206	2015
SAMEA4949207	2015
SAMEA4949208	2015
SAMEA4949209	2015
SAMEA4949210	2015
SAMEA4949211	2015
SAMEA4949212	2015
SAMEA4949213	2015
SAMEA4949214	2015
SAMEA4949215	2015
SAMEA4949216	2015
SAMEA4949217	2015
SAMEA4949218	2015
SAMEA4949219	2015
SAMEA4949220	2015
SAMEA4949221	2015
SAMEA4949222	2015
SAMEA4949223	2015
SAMEA4949224	2015
SAMEA4949225	2015
SAMEA4949226	2015
SAMEA4949227	2015
SAMEA4949228	2015
SAMEA4949229	2015
SAMEA4949230	2015
SAMEA5396654	2013
SAMEA5396655	2013
SAMEA5396656	2014
SAMEA5396657	2014
SAMEA5396659	2013
SAMEA5396661	2008
SAMEA5396662	2001
SAMEA5396663	2014
SAMEA5396664	2015
SAMEA5396665	2009
SAMEA5396666	2011
SAMEA5396667	2009
SAMEA5396669	2015
SAMEA5396670	2007
SAMEA5396671	2015
SAMEA5396672	2012
SAMEA5396673	2009
SAMEA5396674	2013
SAMEA5396676	2014
SAMEA5396678	2013
SAMEA5396679	2014
SAMEA5396680	2007
SAMEA5396684	2013
SAMEA5396687	2013
SAMEA5396690	2012
SAMEA5396692	2006
SAMEA5396694	2008
SAMEA5396695	2007
SAMEA5396696	2010
SAMEA5396697	2012
SAMEA5396698	2007
SAMEA5396699	2009
SAMEA5396700	2009
SAMEA5396701	2009
SAMEA5396704	2009
SAMEA5396705	2010
SAMEA5396707	2009
SAMEA5396708	2012
SAMEA5396709	2013
SAMEA5396710	2014
SAMEA5396711	2014
SAMEA5396712	2015
SAMEA5396713	2012
SAMEA5396714	2014
SAMEA5396715	2014
SAMEA5396716	2014
SAMEA5396717	2012
SAMEA5396718	2014
SAMEA5396719	2013
SAMEA5396720	2014
SAMEA5396721	2015
SAMEA5396722	2014
SAMEA5396723	2015
SAMEA5396724	2014
SAMEA5396725	2015
SAMEA5396726	2016
SAMEA5396727	2014
SAMEA5396728	2014
SAMEA5396729	2014
SAMEA5396730	2016
SAMEA5396742	2015
SAMEA5396743	2015
SAMEA5396744	2015
SAMEA5396745	2015
SAMEA5396746	2015
SAMEA5396747	2015
SAMEA5396748	2015
SAMEA5396749	2015
SAMEA5396750	2015
SAMEA5396751	2015
SAMEA5396752	2015
SAMEA5396753	2015
SAMEA5396754	2015
SAMEA5396755	2015
SAMEA5396756	2015
SAMEA5396757	2015
SAMEA5396758	2015
SAMEA5396759	2015
SAMEA5396760	2015
SAMEA5396761	2015
SAMEA5396762	2015
SAMEA5396763	2015
SAMEA5396764	2015
SAMEA5396765	2015
SAMEA5396766	2015
SAMEA5396767	2015
SAMEA5396768	2015
SAMEA5396769	2015
SAMEA5396770	2015
SAMEA5396771	2015
SAMEA5396772	2015
SAMEA5396773	2015
SAMEA5396790	2016
SAMEA5396791	2014
SAMEA5396792	2016
SAMEA5396796	2007
SAMEA5396797	2009
SAMEA5396798	2012
SAMN04115249	2014
SAMN04115250	2014
SAMN04115251	2014
SAMN04115252	2014
SAMN04115253	2014
SAMN04115255	2014
SAMN04115256	2014
SAMN04115257	2014
SAMN04115258	2014
SAMN04115259	2014
SAMN04115260	2014
SAMN05897974	2006
SAMN08203200	2017
SAMN08203201	2016
SAMN08203202	2016
SAMN08203203	2016
SAMN08203204	2016
SAMN08203208	2016
SAMN08203209	2016
SAMN08203210	2016
SAMN08203211	2015
SAMN08203212	2016
SAMN08203214	2016
SAMN08203217	2015
SAMN08203219	2015
SAMN08203220	2016
SAMN08203222	2016
SAMN08203225	2016
SAMN08203226	2015
SAMN08203228	2014
SAMN08203231	2016
SAMN08203232	2015
SAMN08203235	2016
SAMN08203236	2016
SAMN08203242	2016
SAMN08203243	2016
SAMN08203244	2016
SAMN08203246	2016
SAMN08203248	2016
SAMN08203250	2016
SAMN08203251	2016
SAMN08203253	2016
SAMN08203254	2016
SAMN08203256	2016
SAMN08203257	2016
SAMN08203259	2015
SAMN08203260	2014
SAMN08203263	2016
SAMN08203271	2016
SAMN08203273	2016
SAMN08203280	2015
SAMN08203282	2016
SAMN08203284	2016
SAMN08203285	2016
SAMN08203287	2016
SAMN08203290	2016
SAMN08203293	2014
SAMN08203294	2016
SAMN08744444	2014
SAMN08744445	2014
SAMN08744447	2014
SAMN08744448	2013
SAMN08744449	2014
SAMN08744450	2014
SAMN08744451	2014
SAMN08744452	2015
SAMN08744453	2015
SAMN08744455	2015
SAMN08744456	2016
SAMN08744457	2016
SAMN08744458	2017
SAMN08744459	2017
SAMN08744460	2017
SAMN08812966	2014
SAMN09213480	2000
SAMN09213481	2000
SAMN09758911	2016
SAMN09758912	2016
SAMN09758913	2016
SAMN09758914	2016
SAMN09758915	2016
SAMN09758916	2016
SAMN09758917	2017
SAMN09758918	2016
SAMN09758920	2016
SAMN09758921	2016
SAMN09758922	2017
SAMN09758923	2017
SAMN09758924	2016
SAMN09758925	2016
SAMN09758926	2016
SAMN09758927	2016
SAMN09758928	2016
SAMN09758929	2016
SAMN09758931	2016
SAMN09758932	2016
SAMN09758933	2016
SAMN09758934	2016
SAMN09758935	2016
SAMN09758936	2015
SAMN09758937	2016
SAMN09758938	2016
SAMN09758939	2016
SAMN09758940	2016
SAMN09758941	2016
SAMN09758942	2016
SAMN09758943	2016
SAMN09758944	2016
SAMN09758945	2016
SAMN09758946	2016
SAMN09758947	2016
SAMN09758948	2016
SAMN09758949	2016
SAMN09758950	2015
SAMN09758951	2016
SAMN09758952	2016
SAMN09758953	2016
SAMN09758954	2016
SAMN09758955	2016
SAMN09758956	2016
SAMN09758957	2016
SAMN09758958	2016
SAMN09758959	2016
SAMN09758960	2016
SAMN09758961	2016
SAMN09758962	2016
SAMN09758963	2016
SAMN09758964	2016
SAMN09758965	2015
SAMN09758966	2016
SAMN09758967	2016
SAMN09758968	2015
SAMN09758969	2016
SAMN09758970	2016
SAMN09758971	2016
SAMN09758972	2016
SAMN09758973	2016
SAMN09758974	2016
SAMN09758975	2016
SAMN09758976	2016
SAMN09758977	2016
SAMN09758978	2015
SAMN09758979	2017
SAMN09758980	2015
SAMN09758981	2016
SAMN09758982	2016
SAMN09758983	2016
SAMN09758984	2016
SAMN09758985	2016
SAMN09758987	2016
SAMN09758988	2016
SAMN09758989	2016
SAMN09758990	2015
SAMN09758991	2016
SAMN09758992	2016
SAMN09758993	2016
SAMN09758994	2016
SAMN09758995	2016
SAMN09758996	2016
SAMN09758997	2016
SAMN09758998	2016
SAMN09758999	2016
SAMN09759000	2016
SAMN09759001	2016
SAMN09759002	2016
SAMN09759003	2015
SAMN09759004	2016
SAMN09759005	2016
SAMN09759006	2016
SAMN09759007	2016
SAMN09759008	2016
SAMN09759009	2016
SAMN09759010	2016
SAMN09759011	2016
SAMN09759012	2016
SAMN09759013	2016
SAMN09759014	2016
SAMN09759015	2016
SAMN09759016	2016
SAMN09759017	2016
SAMN09759018	2016
SAMN09759019	2016
SAMN09759020	2016
SAMN09759021	2015
SAMN09759022	2015
SAMN09759023	2016
SAMN09759024	2016
SAMN09759025	2015
SAMN09759026	2016
SAMN09759027	2015
SAMN09759028	2016
SAMN09759029	2016
SAMN09759030	2015
SAMN09759031	2015
SAMN09759032	2015
SAMN09759034	2015
SAMN09759036	2015
SAMN09759037	2015
SAMN09759038	2014
SAMN09759039	2015
SAMN09759040	2016
SAMN09759041	2015
SAMN09759042	2014
SAMN09759043	2016
SAMN09759044	2016
SAMN09759045	2015
SAMN09759046	2015
SAMN09759048	2016
SAMN09759049	2016
SAMN09759051	2016
SAMN09759052	2016
SAMN09759053	2016
SAMN09759054	2016
SAMN09759056	2015
SAMN09759057	2015
SAMN09759058	2016
SAMN09759059	2015
SAMN09759060	2014
SAMN09759061	2015
SAMN09759062	2014
SAMN09759063	2014
SAMN09759064	2014
SAMN09759065	2015
SAMN10188242	2015
SAMN12787906	2013
ATCC19977	1957
