Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	per_tile_sequence_quality	kmer_content
ERR490679_1	ERR490679_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1796981.0	0.0	15-100	64.0	95.40096507747559	95.7574331615081	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR490679_2	ERR490679_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1796981.0	0.0	15-100	64.0	95.59032323732643	94.83579069561671	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR490681_1	ERR490681_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1812510.0	0.0	15-100	64.0	95.40647935503188	95.69304114184197	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR490681_2	ERR490681_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1812510.0	0.0	15-100	64.0	95.60204442505085	94.51061125179999	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR490682_1	ERR490682_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1661818.0	0.0	15-100	63.0	92.94203978726097	95.5651220530768	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass		
ERR490682_2	ERR490682_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1661818.0	0.0	15-100	63.0	93.28057629746004	94.60331396097527	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass		
ERR490683_1	ERR490683_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1976621.0	0.0	15-100	64.0	95.14545993628577	95.68312488838275	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR490683_2	ERR490683_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1976621.0	0.0	15-100	64.0	95.17873212342835	94.73659442047818	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR490684_1	ERR490684_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1870297.0	0.0	15-100	64.0	95.35988169251432	95.69872806297609	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR490684_2	ERR490684_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1870297.0	0.0	15-100	64.0	95.43048142137724	94.80418564538145	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR490686_1	ERR490686_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2060394.0	0.0	15-100	63.0	94.96687091934646	95.64138703568347	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR490686_2	ERR490686_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2060394.0	0.0	15-100	64.0	95.15525680047956	94.56676538564955	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR490687_1	ERR490687_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2097710.0	0.0	15-100	63.0	92.80781088306784	95.50450348236888	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR490687_2	ERR490687_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2097710.0	0.0	15-100	63.0	93.13098708064406	94.77093306510433	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR490688_1	ERR490688_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1803762.0	0.0	15-100	63.0	95.60048996155207	95.70093504575438	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR490688_2	ERR490688_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1803762.0	0.0	15-100	64.0	95.75522625814745	94.7714898085224	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR490689_1	ERR490689_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1718428.0	0.0	15-100	63.0	95.92103513810456	95.77745939893903	pass	pass	pass	pass	fail	pass	warn	pass	pass	pass		
ERR490689_2	ERR490689_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1718428.0	0.0	15-100	63.0	96.0880564400479	94.5660429182951	pass	pass	pass	pass	fail	pass	warn	pass	pass	pass		
ERR490690_1	ERR490690_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1758588.0	0.0	15-100	63.0	95.16951510239625	95.71197119507241	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass		
ERR490690_2	ERR490690_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1758588.0	0.0	15-100	63.0	95.35394367262391	94.67331404513166	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass		
