Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	per_tile_sequence_quality	kmer_content
ERR1045534_1	ERR1045534_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2184952.0	0.0	15-125	64.0	94.87225476813933	115.68569286647944	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045534_2	ERR1045534_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2184952.0	0.0	15-125	64.0	94.96466897324856	113.75091397888832	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045535_1	ERR1045535_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2361779.0	0.0	15-125	64.0	94.28317426507893	116.15653962542643	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045535_2	ERR1045535_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2361779.0	0.0	15-125	64.0	94.489526804766	113.99729060170321	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045536_1	ERR1045536_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2436966.0	0.0	15-125	64.0	94.40132397012177	114.07956902147998	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045536_2	ERR1045536_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2436966.0	0.0	15-125	64.0	94.7895944907373	111.55685430161931	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045537_1	ERR1045537_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2470775.0	0.0	15-125	64.0	94.35721725470407	115.37862371118374	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045537_2	ERR1045537_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2470775.0	0.0	15-125	64.0	94.65512095978896	113.15413463386994	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045538_1	ERR1045538_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2592276.0	0.0	15-125	64.0	93.76893993156253	116.98464013862721	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045538_2	ERR1045538_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2592276.0	0.0	15-125	64.0	94.2063970658986	113.53067690323098	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045539_1	ERR1045539_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2392837.0	0.0	15-125	64.0	94.36233505274296	116.33828087746888	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045539_2	ERR1045539_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2392837.0	0.0	15-125	64.0	94.53117441894466	113.37328618706582	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045540_1	ERR1045540_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2522138.0	0.0	15-125	64.0	94.30626528068802	115.64790903590526	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045540_2	ERR1045540_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2522138.0	0.0	15-125	64.0	94.50175241082026	113.16331303045274	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045541_1	ERR1045541_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2579676.0	0.0	15-125	64.0	94.14127000637495	115.84574458187772	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045541_2	ERR1045541_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2579676.0	0.0	15-125	64.0	94.30575507007428	113.86603937858862	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045542_1	ERR1045542_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2289406.0	0.0	15-125	64.0	94.66304888771946	116.07589610580212	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045542_2	ERR1045542_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2289406.0	0.0	15-125	64.0	94.92002043764894	112.91077641973507	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045546_1	ERR1045546_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2160419.0	0.0	15-125	64.0	94.71701021012886	116.2178614426183	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045546_2	ERR1045546_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2160419.0	0.0	15-125	64.0	95.11482602395193	112.50985294982131	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045547_1	ERR1045547_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2202723.0	0.0	15-125	64.0	94.80814404983971	115.63726487624635	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045547_2	ERR1045547_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2202723.0	0.0	15-125	64.0	95.06163969951777	113.97853520392714	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045548_1	ERR1045548_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2213102.0	0.0	15-125	64.0	94.72406526751126	115.37015917025063	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045548_2	ERR1045548_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2213102.0	0.0	15-125	64.0	95.04122656221465	112.92489049307262	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045549_1	ERR1045549_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2372674.0	0.0	15-125	64.0	94.387849020376	115.76791375469196	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045549_2	ERR1045549_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2372674.0	0.0	15-125	64.0	94.50717057818989	114.01615603323508	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045550_1	ERR1045550_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2335981.0	0.0	15-125	64.0	94.61390244695919	115.33545649557938	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045550_2	ERR1045550_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2335981.0	0.0	15-125	64.0	94.7029272568808	113.29000064640937	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045551_1	ERR1045551_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2064692.0	0.0	15-125	64.0	95.14015568223691	115.63598880607859	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045551_2	ERR1045551_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2064692.0	0.0	15-125	64.0	95.26904804468134	112.90896656741054	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045552_1	ERR1045552_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1964397.0	0.0	15-125	64.0	95.41251553818651	115.11434501274437	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045552_2	ERR1045552_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1964397.0	0.0	15-125	64.0	95.63221571232255	112.2896909331464	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045553_1	ERR1045553_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2157483.0	0.0	15-125	64.0	94.93332201414538	115.883725619159	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045553_2	ERR1045553_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2157483.0	0.0	15-125	64.0	95.1215629552419	113.17834439483417	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045554_1	ERR1045554_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2243100.0	0.0	15-125	64.0	94.77589219045439	115.79177299273327	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045554_2	ERR1045554_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2243100.0	0.0	15-125	64.0	94.93996380475296	113.37088359859123	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045555_1	ERR1045555_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2313955.0	0.0	15-125	64.0	94.57719373260514	115.68621429543789	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045555_2	ERR1045555_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2313955.0	0.0	15-125	64.0	94.81625693012408	113.56123909064783	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045556_1	ERR1045556_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2300197.0	0.0	15-125	64.0	94.70351128273207	115.8356636409838	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045556_2	ERR1045556_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2300197.0	0.0	15-125	64.0	94.84483514834336	113.41284072625083	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045557_1	ERR1045557_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2310097.0	0.0	15-125	64.0	94.6824608112753	115.87074135847975	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045557_2	ERR1045557_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2310097.0	0.0	15-125	64.0	94.74553748542925	114.05094288248502	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045558_1	ERR1045558_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2006525.0	0.0	15-125	64.0	95.29847666453425	115.93077584380957	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045558_2	ERR1045558_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2006525.0	0.0	15-125	64.0	95.47253653382603	113.45261683756743	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045559_1	ERR1045559_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2115193.0	0.0	15-125	64.0	95.0394788488889	115.16935523141387	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045559_2	ERR1045559_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2115193.0	0.0	15-125	64.0	95.15419736416966	113.54576438178455	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045560_1	ERR1045560_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2183087.0	0.0	15-125	64.0	94.96280710781438	115.58503486118511	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045560_2	ERR1045560_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2183087.0	0.0	15-125	64.0	95.1672010244477	113.3591620489701	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045561_1	ERR1045561_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2145303.0	0.0	15-125	64.0	94.78938294092751	116.00419567772012	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045561_2	ERR1045561_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2145303.0	0.0	15-125	64.0	95.05143746842492	113.92079626980431	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045562_1	ERR1045562_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2272301.0	0.0	15-125	64.0	94.65106155772388	116.06948199204243	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045562_2	ERR1045562_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2272301.0	0.0	15-125	64.0	94.69502242312478	114.6878578146117	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045563_1	ERR1045563_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2216547.0	0.0	15-125	64.0	94.57731741342124	117.30341246993635	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045563_2	ERR1045563_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2216547.0	0.0	15-125	64.0	95.0732360993185	113.09159336571703	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045564_1	ERR1045564_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2220557.0	0.0	15-125	64.0	94.58519008872615	115.88954257873137	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045564_2	ERR1045564_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2220557.0	0.0	15-125	64.0	94.8798221273347	113.96621478304768	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045565_1	ERR1045565_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2138885.0	0.0	15-125	64.0	94.94415918836329	115.8435960792656	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045565_2	ERR1045565_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2138885.0	0.0	15-125	64.0	95.16907210165391	113.37568779995185	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045567_1	ERR1045567_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1978773.0	0.0	15-125	64.0	95.22112460490774	115.70084340144119	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045567_2	ERR1045567_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1978773.0	0.0	15-125	64.0	95.45273253025773	113.16172648403834	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045568_1	ERR1045568_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1897767.0	0.0	15-125	64.0	95.20653120640577	115.01071100930726	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045568_2	ERR1045568_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1897767.0	0.0	15-125	64.0	95.59567052821983	111.61569360200698	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045569_1	ERR1045569_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2203589.0	0.0	15-125	64.0	94.61770218447829	116.27952172569385	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045569_2	ERR1045569_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2203589.0	0.0	15-125	64.0	94.82805332495413	113.9943900609415	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045570_1	ERR1045570_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2157948.0	0.0	15-125	64.0	94.80333559888902	116.09764322402579	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045570_2	ERR1045570_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2157948.0	0.0	15-125	64.0	94.94727371005168	114.5134590824246	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045571_1	ERR1045571_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2051647.0	0.0	15-125	64.0	95.09080038451822	115.61226322071974	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045571_2	ERR1045571_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2051647.0	0.0	15-125	64.0	95.20722489567527	113.19474402760319	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045572_1	ERR1045572_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2076421.0	0.0	15-125	64.0	94.98660511185234	115.71165770332702	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045572_2	ERR1045572_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2076421.0	0.0	15-125	64.0	95.23135186905144	112.81448030047856	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045573_1	ERR1045573_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2088963.0	0.0	15-125	64.0	94.9895245601369	115.46004740150974	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045573_2	ERR1045573_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2088963.0	0.0	15-125	64.0	95.15893319540609	113.50171783798947	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045574_1	ERR1045574_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2136343.0	0.0	15-125	64.0	94.84775709741933	115.51832594297825	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045574_2	ERR1045574_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2136343.0	0.0	15-125	64.0	95.0437692236595	112.80983718438472	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045575_1	ERR1045575_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2076315.0	0.0	15-125	64.0	94.98817464290372	115.7923224558894	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045575_2	ERR1045575_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2076315.0	0.0	15-125	64.0	95.20685371608455	113.1986721667955	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045576_1	ERR1045576_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1879119.0	0.0	15-125	64.0	95.42151342200775	115.58416630346454	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045576_2	ERR1045576_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1879119.0	0.0	15-125	64.0	95.67239649021131	113.58367351934604	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045577_1	ERR1045577_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2069014.0	0.0	15-125	64.0	94.98949821624343	115.74510612301319	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045577_2	ERR1045577_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2069014.0	0.0	15-125	64.0	95.18518858395501	113.21096522304828	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045578_1	ERR1045578_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2066995.0	0.0	15-125	64.0	95.02035852575848	115.5860198016928	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045578_2	ERR1045578_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2066995.0	0.0	15-125	64.0	95.24479599234832	113.1152649135581	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045579_1	ERR1045579_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1906436.0	0.0	15-125	64.0	95.37527945983399	115.26873023799382	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045579_2	ERR1045579_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1906436.0	0.0	15-125	64.0	95.59038881921464	113.16945336743537	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045580_1	ERR1045580_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1998574.0	0.0	15-125	64.0	95.0730083215473	115.94109900358956	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045580_2	ERR1045580_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1998574.0	0.0	15-125	64.0	95.25295480597582	114.2062395487983	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045581_1	ERR1045581_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1965072.0	0.0	15-125	64.0	95.14944749678847	115.84327902489069	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045581_2	ERR1045581_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1965072.0	0.0	15-125	64.0	95.21356997561642	114.29891830935456	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045582_1	ERR1045582_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2280077.0	0.0	15-125	64.0	94.56328827497536	115.56826370337492	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045582_2	ERR1045582_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2280077.0	0.0	15-125	64.0	94.7470166565041	113.4964981445802	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045583_1	ERR1045583_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2131457.0	0.0	15-125	64.0	94.98619958332559	115.77030359983804	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045583_2	ERR1045583_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2131457.0	0.0	15-125	64.0	95.18506620423528	112.64999763072865	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045584_1	ERR1045584_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2043151.0	0.0	15-125	64.0	95.06868533698086	115.52879449438636	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045584_2	ERR1045584_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2043151.0	0.0	15-125	64.0	95.2663892902487	113.31564529493905	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045585_1	ERR1045585_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2023620.0	0.0	15-125	64.0	95.08966675989203	115.68150542097824	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045585_2	ERR1045585_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2023620.0	0.0	15-125	64.0	95.33299730856066	113.36038633735583	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045586_1	ERR1045586_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1693862.0	0.0	15-125	64.0	96.04129664597897	114.50698817259021	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045586_2	ERR1045586_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1693862.0	0.0	15-125	64.0	96.19072795074437	111.05541419548936	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045587_1	ERR1045587_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1946263.0	0.0	15-125	64.0	95.37399951741448	115.72031734662787	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045587_2	ERR1045587_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1946263.0	0.0	15-125	64.0	95.54185360690066	113.68048049004682	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045588_1	ERR1045588_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1989999.0	0.0	15-125	64.0	95.26466234984224	115.8407391159493	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045588_2	ERR1045588_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1989999.0	0.0	15-125	64.0	95.3269198827175	113.9816929556246	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045589_1	ERR1045589_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2168639.0	0.0	15-125	64.0	94.9387646384267	116.21664140504713	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045589_2	ERR1045589_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2168639.0	0.0	15-125	64.0	95.10112387985797	114.02400998967555	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045590_1	ERR1045590_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2223580.0	0.0	15-125	64.0	94.70793603820266	115.5502666870542	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045590_2	ERR1045590_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2223580.0	0.0	15-125	64.0	94.86809483033733	113.30608523192329	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045591_1	ERR1045591_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2539642.0	0.0	15-125	64.0	94.1618295339645	115.54946996466431	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045591_2	ERR1045591_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2539642.0	0.0	15-125	64.0	94.36621326973481	113.13573448541172	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045592_1	ERR1045592_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2048055.0	0.0	15-125	64.0	95.20107083652178	114.847528997024	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045592_2	ERR1045592_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2048055.0	0.0	15-125	64.0	95.39530929971288	112.63176965462354	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045593_1	ERR1045593_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1939565.0	0.0	15-125	66.0	95.4590425117049	115.12444439861515	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045593_2	ERR1045593_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1939565.0	0.0	15-125	66.0	95.55054462172296	113.5831359093405	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045594_1	ERR1045594_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1907711.0	0.0	15-125	64.0	95.45455517441034	115.17201504840094	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045594_2	ERR1045594_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1907711.0	0.0	15-125	64.0	95.60434310021317	113.24688278255984	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045595_1	ERR1045595_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1816366.0	0.0	15-125	64.0	95.47330735955028	115.63605682995608	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045595_2	ERR1045595_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1816366.0	0.0	15-125	64.0	95.87594240626144	111.65380105110974	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045596_1	ERR1045596_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1930802.0	0.0	15-125	64.0	95.42996765040958	116.67489260939237	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045596_2	ERR1045596_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	1930802.0	0.0	15-125	64.0	95.62530854036851	113.95691842042841	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045597_1	ERR1045597_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2198400.0	0.0	15-125	64.0	94.63786756005676	116.24579967248908	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045597_2	ERR1045597_2_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2198400.0	0.0	15-125	64.0	94.67599816150815	114.82824645196507	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
ERR1045598_1	ERR1045598_1_trimmed.fastq	Conventional base calls	Sanger / Illumina 1.9	2113557.0	0.0	15-125	64.0	95.010813480854	115.34189094498043	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass		
